Actividad Institucional,Adefas,Aprobado,Ciclo,Clave de cartera,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción de la entidad federativa,Descripción de la modalidad del programa presupuestario,Devengado,Ejercicio,Ejercido,Entidad Federativa,Finalidad,Fuente de Financiamiento,Función,Grupo Funcional,Modalidad del Programa presupuestario,Modificado,Objeto del Gasto,Pagado,Programa Presupuestario,Ramo,Subfunción,Tipo de Gasto,Unidad Responsable
14,," 646,429.0 ",2010,,Desarrollo Económico,Recursos fiscales,Ciencia y Tecnología,,Cuotas para el seguro colectivo de retiro,Investigación científica y desarrollo tecnológico,Educación Pública,Investigación Científica,Gasto corriente,Instituto Politécnico Nacional,Investigación en diversas instituciones de educación superior,,Prestación de Servicios Públicos,,," 1,109,952.0 ",,3.0,1.0,7,,E,,1408.0,,21.0,11,1,1.0,B00
3, -   ," 28,400 ",2014, 0 ,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Congresos y convenciones,Manejo Integral del Sistema Hidrológico,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Distrito Federal ,Prestación de Servicios Públicos, -   , -   ,,9.0,,1.0,1,2.0,E, -   ,38301.0, -   ,6.0,16,2,1.0,B00
3, -   , -   ,2014, 0 ,,Recursos fiscales,Seguridad Nacional,Gobierno,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Emplear el Poder Naval de la Federación para salvaguardar la soberanía y seguridad nacionales,Marina,Marina,Gasto corriente,"Fuerzas, Regiones, Zonas y Sectores Navales",Soberanía y seguridad nacionales en las zonas marinas mexicanas, Chiapas ,Funciones de las Fuerzas Armadas," 7,958 "," 7,958 ",,7.0,,1.0,6,1.0,A," 7,958 ",35501.0," 7,958 ",1.0,13,2,1.0,115
3, -   , -   ,2014, 0 ,,Recursos fiscales,Justicia,Gobierno,Material estadístico y geográfico,Resolución de asuntos relativos a conflictos y controversias por la posesión y usufructo de la tierra,Tribunales Agrarios,Impartición de Justicia,Gasto corriente,Tribunales Unitarios Agrarios,Impartición de Justicia en materia agraria, Tlaxcala ,Prestación de Servicios Públicos, -   , -   ,,29.0,,1.0,2,1.0,E, -   ,21301.0, -   ,1.0,31,1,1.0,200
2,0.00,"200,000.00",2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Oaxaca,Servicios de apoyo administrativo,Oaxaca,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"132,511.05","132,511.05",,20.0,,1.0,1,2.0,M,"132,511.05",35501.0,"132,511.05",1.0,16,6,1.0,140
10,0.00,"2,530.00",2015,13096270011,,Recursos fiscales,Transporte,Desarrollo Económico,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Chiapas,Proyectos de Inversión,0.00,0.00,,7.0,,1.0,5,3.0,K,0.00,22104.0,0.00,31.0,9,1,3.0,627
8,," 2,300.0 ",2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,Productos minerales no metálicos,"Definición y conducción de la política del desarrollo social y comunitario, así como la participación social",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Delegación SEDESOL en Puebla,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Puebla,"Planeación, seguimiento y evaluación de políticas públicas", -   ,, -   ,21.0,2.0,1.0,6,,P,,24101.0,,2.0,20,8,1.0,141
23,,980207.0,2011,,Desarrollo Social,Recursos fiscales,Salud,,Baja California Sur,Protección Contra Riesgos Sanitarios,Salud,Prestación de Servicios de Salud a la Comunidad,Gasto corriente,Comisión Federal para la Protección contra Riesgos Sanitarios,Fondo de Aportaciones para los Servicios de Salud a la Comunidad con recursos financieros suficientes,,Regulación y supervisión,,,980207.0,,2.0,1.0,1,,G,,43803.0,,4.0,12,1,1.0,S00
3,," 71,628.0 ",2013,0,Desarrollo Social,Recursos fiscales,Protección Ambiental,,Aportaciones al FOVISSSTE,Programa de gestión hídrica,Medio Ambiente y Recursos Naturales,"Ordenación de Aguas Residuales, Drenaje y Alcantarillado",Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Morelos,Regulación y supervisión," 71,628.0 ",," 71,628.0 ",17.0,2.0,1.0,1,,G,,14201.0,,10.0,16,3,1.0,B00
10,0.00,120.00,2015,13096300002,,Recursos fiscales,Transporte,Desarrollo Económico,Servicio postal,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Durango,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Durango,Proyectos de Inversión,0.00,0.00,,10.0,,1.0,5,3.0,K,0.00,31801.0,0.00,31.0,9,1,3.0,630
6,0.00,"20,000.00",2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Material de limpieza,Regulación Ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Baja California Sur,Fomento y regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales,Baja California Sur,Regulación y supervisión,"19,892.37","19,892.37",,3.0,,1.0,1,2.0,G,"19,892.37",21601.0,"19,892.37",3.0,16,6,1.0,123
12,,187518.0,2011,,Desarrollo Social,Recursos fiscales,Asistencia Social,,Cuotas para el seguro de vida del personal civil,Programas para la Protección y Desarrollo Integral de la Infancia,Salud,Otros Grupos Vulnerables,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,"Asistencia social, comunitaria y beneficencia pública justa y equitativa (asistencia pública)",,Sujetos a Reglas de Operación,,,193265.0,,2.0,1.0,5,,S,,14401.0,,149.0,12,3,1.0,NHK
8,," 116,121.0 ",2013,0,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,Arrendamiento de edificios y locales,Servicios educativos culturales,Educación Pública,Cultura,Gasto corriente,Instituto Nacional de Bellas Artes y Literatura,Fomento y promoción de la cultura,Distrito Federal,Prestación de Servicios Públicos," 95,666.3 ",," 95,666.3 ",9.0,2.0,1.0,4,,E,,32201.0,,42.0,11,2,1.0,E00
6,," 871,726,450.0 ",2013,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Subsidios a la producción,Fondo para el Apoyo a Proyectos Productivos en Núcleos Agrarios (FAPPA),"Desarrollo Agrario, Territorial y Urbano",Agropecuaria,Gasto corriente,Dirección General de Desarrollo Agrario,Impulso a la inversión para mejoramiento de los niveles de los sujetos agrarios,No Distribuible Geográficamente,Sujetos a Reglas de Operación," 905,655,583.0 ",," 905,655,583.0 ",34.0,3.0,1.0,2,,S,,43101.0,,89.0,15,1,1.0,310
24, -   ," 927,568 ",2014, 0 ,,Recursos fiscales,"Ciencia, Tecnología e Innovación",Desarrollo Económico,Estímulos al personal operativo,Investigación y desarrollo tecnológico en salud,Salud,Investigación Científica,Gasto corriente,Centro Regional de Alta Especialidad de Chiapas,Investigación en salud pertinente y de excelencia académica, Chiapas ,Prestación de Servicios Públicos," 927,568 "," 927,568 ",,7.0,,1.0,8,3.0,E," 927,568 ",17102.0," 927,568 ",22.0,12,1,1.0,M7A
14, -   ," 30,000 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,Mantenimiento y conservación de bienes informáticos,"Promoción de la salud, prevención y control de enfermedades crónico degenerativas y transmisibles y lesiones",Salud,Rectoría del Sistema de Salud,Gasto corriente,Centro Nacional para la Prevención y el Control de las Adicciones,Sistema Nacional de Salud organizado e integrado, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas"," 15,080 "," 15,080 ",,9.0,,1.0,3,2.0,P," 15,080 ",35301.0," 15,080 ",14.0,12,4,1.0,X00
2,," 90,000.0 ",2013,0,Desarrollo Económico,Recursos fiscales,"Ciencia, Tecnología e Innovación",,Otros impuestos y derechos,Actividades de apoyo administrativo,Consejo Nacional de Ciencia y Tecnología,Desarrollo Tecnológico,Gasto corriente,"Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco, A.C.",Servicios de apoyo administrativo,Jalisco,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 90,000.0 ",," 90,000.0 ",14.0,3.0,1.0,8,,M,,39202.0,,1.0,38,2,1.0,90I
6,0.00,0.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Servicio telefónico convencional,Programa de Productividad y Competitividad Agroalimentaria,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Fideicomiso de Riesgo Compartido,Elevar el ingreso de los productores y el empleo rural,Distrito Federal,Sujetos a Reglas de Operación,"123,569.16","123,569.16",,9.0,,1.0,2,3.0,S,"123,569.16",31401.0,"123,569.16",257.0,8,1,7.0,I6L
10, -   ," 6,650 ",2014, 41523 ,,Recursos fiscales,Transporte,Desarrollo Económico,Servicio de energía eléctrica,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Guerrero,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Guerrero ,Proyectos de Inversión, -   , -   ,,12.0,,1.0,5,3.0,K, -   ,31101.0, -   ,31.0,9,1,3.0,632
2,," 927,106.0 ",2010,,Desarrollo Social,Recursos fiscales,"Urbanización, Vivienda y Desarrollo Regional",,Aportaciones al ISSSTE,Actividades de apoyo administrativo,Desarrollo Social,Desarrollo Regional,Gasto corriente,Instituto Nacional de Desarrollo Social,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 903,713.0 ",,2.0,1.0,3,,M,,1401.0,,1.0,20,3,1.0,D00
23,0.00,"1,516.00",2015,0,,Recursos fiscales,Asuntos de Orden Público y de Seguridad Interior,Gobierno,Servicio de agua,"Implementar las políticas, programas y acciones tendientes a garantizar la seguridad pública de la Nación y sus habitantes",Gobernación,Otros Asuntos de Orden Público y Seguridad,Gasto corriente,Inspectoría General,Fortalecimiento de las instituciones de seguridad pública que garanticen la seguridad de la población,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas",0.00,0.00,,9.0,,1.0,7,1.0,P,0.00,31301.0,0.00,21.0,4,3,1.0,650
4,, -   ,2012,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Servicios bancarios y financieros,ProÁrbol.-Protección Forestal,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,"Proárbol: Bosques recuperados, protegidos y productivos",Nayarit,Prestación de Servicios Públicos,,," 22,261 ",18.0,3.0,1.0,2,,E,,34101.0,,14.0,16,2,1.0,RHQ
8,," 238,739.0 ",2010,,Desarrollo Social,Recursos fiscales,Asistencia Social,,Aportaciones al seguro de cesantía en edad avanzada y vejez,"Definición y conducción de la política del desarrollo social, el ordenamiento territorial y la vivienda",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Dirección General de Opciones Productivas,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",,"Planeación, seguimiento y evaluación de políticas públicas",,," 153,078.0 ",,2.0,1.0,5,,P,,1414.0,,2.0,20,3,1.0,210
1,, -   ,2012,0,Gobierno,Recursos fiscales,Otros Servicios Generales,,Aportaciones al Sistema de Ahorro para el Retiro,Producción y difusión de información estadística y geográfica de interés nacional,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Sistema Nacional de Información Estadística y Geográfica,Morelos,"Planeación, seguimiento y evaluación de políticas públicas",,," 378,241 ",17.0,1.0,1.0,8,,P,,14301.0,,2.0,40,2,1.0,100
16,, -   ,2013,0,Desarrollo Social,Recursos fiscales,Protección Social,,Otros materiales y artículos de construcción y reparación,Acciones de control de las unidades centrales y foráneas,Hacienda y Crédito Público,Indígenas,Gasto corriente,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,Promoción y coordinación de las políticas publicas para el desarrollo de los pueblos y comunidades indígenas,Morelos,"Planeación, seguimiento y evaluación de políticas públicas"," 2,886.2 ",," 2,886.2 ",17.0,2.0,1.0,6,,P,,24901.0,,14.0,6,7,1.0,AYB
3, -   , -   ,2014, 0 ,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Materiales y útiles de oficina,Programa para atender desastres naturales,Medio Ambiente y Recursos Naturales,Administración del Agua,Gasto corriente,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones, Hidalgo ,Desastres Naturales," 26,000 "," 26,000 ",,13.0,,1.0,1,2.0,N," 26,000 ",21101.0," 26,000 ",1.0,16,2,1.0,B00
2,, -   ,2013,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Pago de liquidaciones,Actividades de apoyo administrativo,"Desarrollo Agrario, Territorial y Urbano",Agropecuaria,Gasto corriente,Procuraduría Agraria,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional," 1,988,194.2 ",," 1,988,194.2 ",9.0,3.0,1.0,2,,M,,15202.0,,1.0,15,1,1.0,QEZ
10,0.00,"2,000.00",2015,6096400002,,Recursos fiscales,Transporte,Desarrollo Económico,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Oaxaca,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",Oaxaca,Proyectos de Inversión,"1,090.98","1,090.98",,20.0,,1.0,5,3.0,K,"1,090.98",21401.0,"1,090.98",31.0,9,1,3.0,640
6,," 138,489.0 ",2013,0,Desarrollo Económico,Recursos fiscales,Transporte,,Compensación garantizada,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Ferrocarril,Gasto corriente,Centro SCT Zacatecas,Ferrocarriles eficientes y competitivos,Zacatecas,Regulación y supervisión," 139,166.8 ",," 139,166.8 ",32.0,3.0,1.0,5,,G,,15402.0,,2.0,9,3,1.0,652
10,0.00,"3,150.00",2015,0,,Recursos fiscales,Educación,Desarrollo Social,Cuotas para el seguro colectivo de retiro,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Delegación Federal de la Secretaría de Educación Pública en el Estado de Morelos,Diseño y aplicación de la política educativa,Morelos,"Planeación, seguimiento y evaluación de políticas públicas","3,519.96","3,519.96",,17.0,,1.0,5,2.0,P,"3,519.96",14405.0,"3,519.96",1.0,11,6,1.0,137
10,0.00,"28,338.00",2015,0,,Recursos fiscales,Educación,Desarrollo Social,Depósitos para el ahorro solidario,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Delegación Federal de la Secretaría de Educación Pública en el Estado de Tlaxcala,Diseño y aplicación de la política educativa,Tlaxcala,"Planeación, seguimiento y evaluación de políticas públicas","29,104.87","29,104.87",,29.0,,1.0,5,2.0,P,"29,104.87",14302.0,"29,104.87",1.0,11,6,1.0,149
1,0.00,"10,080.00",2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Asignaciones adicionales al sueldo,Capacitación y educación para el ejercicio democrático de la ciudadanía,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Chiapas,Específicos,"10,080.00","10,080.00",,7.0,,1.0,3,1.0,R,"10,080.00",15403.0,"10,080.00",3.0,22,6,1.0,200
4, -   , -   ,2014, 0 ,,Recursos fiscales,Combustibles y Energía,Desarrollo Económico,"Seguro de responsabilidad civil, asistencia legal y otros seguros",Conducción de la política energética,Energía,Otros Combustibles,Gasto corriente,Dirección General de Comunicación Social,Regulación eficiente del sector energético, Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas"," 13,346 "," 13,346 ",,9.0,,1.0,3,3.0,P," 13,346 ",14406.0," 13,346 ",1.0,18,4,1.0,112
3,0.00,"19,200.00",2015,11096480006,,Recursos fiscales,Transporte,Desarrollo Económico,Otros impuestos y derechos,Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Tamaulipas,"Carreteras eficientes, seguras y suficientes",Tamaulipas,Proyectos de Inversión,0.00,0.00,,28.0,,1.0,5,3.0,K,0.00,39202.0,0.00,3.0,9,1,3.0,648
4,, -   ,2013,0,Desarrollo Económico,Recursos fiscales,Combustibles y Energía,,Prendas de protección personal,Coordinación de la implementación de la política energética y de las entidades del sector hidrocarburos,Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Dirección General de Exploración y Explotación de Hidrocarburos,Regulación eficiente del sector energético,Distrito Federal,"Planeación, seguimiento y evaluación de políticas públicas"," 68,503.3 ",," 68,503.3 ",9.0,3.0,1.0,3,,P,,27201.0,,3.0,18,2,1.0,512
6,0.00,0.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Refacciones y accesorios para equipo de cómputo y telecomunicaciones,Programa de Fomento a la Agricultura,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación en Puebla,Elevar el ingreso de los productores y el empleo rural,Puebla,Sujetos a Reglas de Operación,"97,181.94","97,181.94",,21.0,,1.0,2,3.0,S,"97,181.94",29401.0,"97,181.94",259.0,8,1,7.0,141
3,," 16,900 ",2012,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Materiales complementarios,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Subdelegación en Piedras Negras,"Micro, pequeñas y medianas empresas productivas y competitivas",Coahuila,Prestación de Servicios Públicos,,, -   ,5.0,3.0,1.0,1,,E,,24801.0,,9.0,10,1,1.0,155
2,," 99,623 ",2012,0,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Materiales y útiles de oficina,Actividades de apoyo administrativo,Trabajo y Previsión Social,Asuntos Laborales Generales,Gasto corriente,Dirección General de Recursos Humanos,Servicios de apoyo administrativo,Distrito Federal,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,," 33,751 ",9.0,3.0,1.0,1,,M,,21101.0,,1.0,14,2,1.0,510
2,0.00,"32,958.00",2015,0,,Recursos fiscales,Transporte,Desarrollo Económico,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Tamaulipas,Servicios de apoyo administrativo,Tamaulipas,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"32,076.64","32,076.64",,28.0,,1.0,5,3.0,M,"32,076.64",21401.0,"32,076.64",1.0,9,6,1.0,648
1, -   , -   ,2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Difusión de mensajes sobre programas y actividades gubernamentales,Capacitación y educación para el ejercicio democrático de la ciudadanía,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Veracruz ,Específicos," 471,162 "," 471,162 ",,30.0,,1.0,3,1.0,R," 471,162 ",36101.0," 471,162 ",3.0,22,6,1.0,300
8, -   ," 1,443,740 ",2014, 0 ,,Recursos fiscales,Salud,Desarrollo Social,Otras prestaciones,Administración y fomento de los servicios de salud,Marina,Prestación de Servicios de Salud a la Persona,Gasto corriente,Dirección General de Recursos Humanos,Servicios de salud al personal naval militar y derechohabientes, Colima ,Funciones de las Fuerzas Armadas," 2,005,854 "," 2,005,854 ",,6.0,,1.0,3,2.0,A," 2,005,854 ",15901.0," 2,005,854 ",7.0,13,2,1.0,311
10, -   , 480 ,2014, 41579 ,,Recursos fiscales,Transporte,Desarrollo Económico,Otros servicios comerciales,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Chiapas,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes", Chiapas ,Proyectos de Inversión, -   , -   ,,7.0,,1.0,5,3.0,K, -   ,33602.0, -   ,31.0,9,1,3.0,627
8,,5703.0,2011,,Desarrollo Económico,Recursos fiscales,Comunicaciones y Transportes,,Servicio de agua,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Otros,Gasto corriente,Centro SCT Tamaulipas,Regulación eficiente de las comunicaciones y los transportes,,Regulación y supervisión,,,4940.0,,3.0,1.0,1,,G,,31301.0,,2.0,9,6,1.0,648
3,," 284,004 ",2012,0,Gobierno,Recursos fiscales,Justicia,,Servicios para capacitación a servidores públicos,Otras Actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Consejo de la Judicatura Federal,Impartir justicia en el ámbito de su competencia,Hidalgo,Específicos,,, -   ,13.0,1.0,1.0,2,,R,,33401.0,,1.0,3,1,1.0,110
6,, -   ,2012,0,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,Productos minerales no metálicos,Programa de Apoyo a la Inversión en Equipamiento e Infraestructura,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación en Quintana Roo,Elevar el ingreso de los productores y el empleo rural,Quintana Roo,Sujetos a Reglas de Operación,,," 1,722 ",23.0,3.0,1.0,2,,S,,24101.0,,230.0,8,1,7.0,143
1, -   ," 2,292 ",2014, 0 ,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Productos alimenticios para el personal en las instalaciones de las dependencias y entidades,"Dirección, soporte jurídico electoral y apoyo logístico",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Distritales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos", Zacatecas ,Específicos," 16,377 "," 16,377 ",,32.0,,1.0,3,1.0,R," 16,377 ",22104.0," 16,377 ",8.0,22,6,1.0,300
6,0.00,"16,898.00",2015,0,,Recursos fiscales,Protección Ambiental,Desarrollo Social,Mantenimiento y conservación de mobiliario y equipo de administración,Regulación Ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Tabasco,Fomento y regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales,Tabasco,Regulación y supervisión,"10,580.00","10,580.00",,27.0,,1.0,1,2.0,G,"10,580.00",35201.0,"10,580.00",3.0,16,6,1.0,147
6, -   ," 78,423,009 ",2014, 0 ,,Recursos fiscales,Justicia,Gobierno,Sueldos base al personal eventual,Implementación de la Reforma al Sistema de Justicia Penal,Gobernación,Procuración de Justicia,Gasto corriente,Secretaría Técnica del Consejo de Coordinación para la Implementación del Sistema de Justicia Penal,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales", Distrito Federal ,"Planeación, seguimiento y evaluación de políticas públicas"," 75,142,844 "," 75,142,844 ",,9.0,,1.0,2,1.0,P," 75,142,844 ",12201.0," 75,142,844 ",10.0,4,2,1.0,U00
3, -   ," 2,099,640 ",2014, 0 ,,Recursos fiscales,Seguridad Nacional,Gobierno,Servicio de agua,"Defensa de la Integridad, la Independencia, la Soberanía del Territorio Nacional",Defensa Nacional,Defensa,Gasto corriente,Comandancia VII Región Militar,"Defensa de la integridad, la independencia, la soberanía del territorio nacional y la seguridad interior", Chiapas ,Funciones de las Fuerzas Armadas," 2,099,640 "," 2,099,640 ",,7.0,,1.0,6,1.0,A," 2,099,640 ",31301.0," 2,099,640 ",2.0,7,1,1.0,126
1,0.00,"36,000.00",2015,0,,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Gastos para alimentación de servidores públicos de mando,"Dirección, soporte jurídico electoral y apoyo logístico",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Distrito Federal,Específicos,"33,903.40","33,903.40",,9.0,,1.0,3,1.0,R,"33,903.40",38501.0,"33,903.40",8.0,22,6,1.0,200
6,, -   ,2010,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Servicio de energía eléctrica,Programa de Soporte,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Comercialización,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Delegación en Campeche,Elevar el ingreso de los productores y el empleo rural,,Sujetos a Reglas de Operación,,," 1,156.0 ",,3.0,1.0,2,,S,,3106.0,,198.0,8,2,7.0,124
6,,0.0,2011,,Desarrollo Social,Recursos fiscales,"Urbanización, Vivienda y Desarrollo Regional",,Subsidios a la producción,Programa de Opciones Productivas,Desarrollo Social,Desarrollo Regional,Gasto corriente,Delegación SEDESOL en Baja California Sur,"Apoyo a las inversiones sociales de los gobiernos locales, de las organizaciones sociales y de la población rural",,Sujetos a Reglas de Operación,,,3317303.0,,2.0,1.0,3,,S,,43101.0,,54.0,20,3,1.0,123
3,0.00,0.00,2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Gastos para operativos y trabajos de campo en áreas rurales,"Programa de Rehabilitación, Modernización, Tecnificación y Equipamiento de Distritos de Riego y Temporal Tecnificado",Medio Ambiente y Recursos Naturales,Hidroagrícola,Gasto corriente por concepto de gastos indirectos de programas de subsidios,Comisión Nacional del Agua,Manejo eficiente y sustentable del agua y prevención de inundaciones,Oaxaca,Sujetos a Reglas de Operación,"35,694.15","35,694.15",,20.0,,1.0,2,3.0,S,"35,694.15",37901.0,"35,694.15",79.0,16,5,7.0,B00
4,0.00,"5,500.00",2015,0,,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",Desarrollo Económico,Servicio de telefonía celular,Programa Nacional Forestal-Protección Forestal,Medio Ambiente y Recursos Naturales,Silvicultura,Gasto corriente,Comisión Nacional Forestal,Producción y Protección Forestal,Sinaloa,Prestación de Servicios Públicos,"4,000.00","4,000.00",,25.0,,1.0,2,3.0,E,"4,000.00",31501.0,"4,000.00",14.0,16,2,1.0,RHQ
