ACTIVIDAD_INST_DESCRIPCION,AI,Actividad Institucional,CLAVE_CARTERA,CONCEPTO,CONCEPTO_DESCRIPCION,Ciclo,Clave de Cartera,Descripción de Actividad Institucional,Descripción de Entidad Federativa,Descripción de Finalidad,Descripción de Fuente de Financiamiento,Descripción de Función,Descripción de Grupo Funcional,Descripción de Objeto del Gasto,Descripción de Programa Presupuestario,Descripción de Ramo,Descripción de Subfunción,Descripción de Tipo de Gasto,Descripción de Unidad Responsable,Descripción de la Actividad Institucional,Descripción del Identificador de Programa Presupuestario,Descripción del Identificador del Programa Presupuestario,Descripciónde Fuente de Financiamiento,Descripciónde Tipo de Gasto,EF,ENTIDAD_FED_DESCRIPCION,Entidad Federativa,FF,FN,FUENTE_FINAN_DESCRIPCION,FUNCIONL_DESCRIPCION,Finalidad,Fuente de Financiamiento,Función,GF,GRUPO_FUN_DESCRIPCION,Grupo Funcional,Identificador de Programa Presupuestario,Identificador del Programa Presupuestario,Importe Presupuesto de Egresos de la Federación (PEF),MOD,MODALIDAD_DESCRIPCION,Objeto del Gasto,PEF_2016,PP,PROGR_PRES_DESCRIPCION,Programa Presupuestario,RA,RAMO_DESCRIPCION,REASIGNACION_DESCRIPCION,Ramo,SF,SUBFUNCIONL_DESCRIPCION,Subfunción,TG,TIPO_GASTO_DESCRIPCION,Tipo de Gasto,UNIDAD,UNIDAD_DESCRIPCION,Unidad Responsable,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Aeropuertos eficientes y competitivos,5.0,,0,2500.0,"Productos qu¡micos, farmacuticos y de laboratorio",2016.0,,,,,,,,,,,,,,,,,,,7.0,Chiapas,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,G,Regulaci¢n y supervisi¢n,," 43,799 ",2.0,"Supervisi¢n, inspecci¢n y verificaci¢n del transporte terrestre, mar¡timo y areo",,0.0,Comunicaciones y Transportes,Otros,9,4.0,Transporte Areo,,1.0,Gasto corriente,,627,Centro SCT Chiapas,,,,,,,,
,,24.0,,,,2008.0,,Investigación en salud pertinente y de excelencia académica,,,Recursos fiscales,Ciencia y Tecnología,Desarrollo Económico,Cuotas para el seguro colectivo de retiro,Investigación y desarrollo tecnológico en salud,Salud,Investigación Científica,Gasto corriente,Instituto Nacional de Medicina Genómica,,Prestación de servicios públicos,,,,,,,,,,,,1.0,7.0,,,3.0,E,,0.0,,,1408.0,,,,22.0,,,,12,,,1.0,,,1.0,,,NCH,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios basicos,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Sonora,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,5.0,,,,,M,"263,357.00",,,3100.0,,,,1.0,,,,9,,,6.0,,,1.0,,,646,,,,,,,
,,10.0,,,,2012.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Otras prestaciones sociales y economicas,Diseño y aplicación de la política educativa,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Oficina de Servicios Federales de Apoyo a la Educación en el Estado de Chiapas,Diseño y aplicación de la política educativa,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,5.0,,,,,P,2248741.0,,,1500.0,,,,1.0,,,,11,,,6.0,,,1.0,,,127,,,,,,,
,,3.0,,,,2015.0,0,,Distrito Federal,Gobierno,Recursos fiscales,Asuntos Financieros y Hacendarios,,Otras prestaciones sociales y económicas,Diseño de la política de ingresos,Hacienda y Crédito Público,Asuntos Hacendarios,Gasto corriente,Unidad de Comunicación Social y Vocero,Política de ingresos equitativa y promotora de la competitividad,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,9.0,,,,,1.0,1.0,5.0,,,,,P,"$20,359,322.00",,,1500.0,,,,1.0,,,,6,,,2.0,,,1.0,,,112,,,,,,,
Manejo eficiente y sustentable del agua y prevenci¢n de inundaciones,3.0,,0,2200.0,Alimentos y utensilios,2016.0,,,,,,,,,,,,,,,,,,,23.0,Quintana Roo,,1.0,1.0,Recursos fiscales,Protecci¢n Ambiental,,,,2.0,Desarrollo Social,,,,,N,Desastres Naturales,," 75,449 ",1.0,Atenci¢n de emergencias y desastres naturales,,0.0,Medio Ambiente y Recursos Naturales,Otros,16,2.0,Administraci¢n del Agua,,1.0,Gasto corriente,,B00,Comisi¢n Nacional del Agua,,,,,,,,
,,9.0,,,,2011.0,,,,Desarrollo Económico,Recursos fiscales,Desarrollo Agropecuario y Forestal,,Otras prestaciones sociales y economicas,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,Gasto corriente,Delegación en Guerrero,"Impulso a la Reconversión Productiva en Materia Agrícola, Pecuaria y Pesquera",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,25076048.0,,,1500.0,,,,1.0,,,,8,,,1.0,,,1.0,,,132,,,,,,,
,,11.0,,,,2014.0,,,,Desarrollo Social,Recursos fiscales,Educación,,"Materiales de administracion, emision de documentos y articulos oficiales",Registro Nacional de Profesionistas y de Asociaciones de Profesionistas,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Dirección General de Profesiones,Gestión integral de servicios,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,5.0,,,,,E,"106,696.00",,,2100.0,,,,39.0,,,,11,,,6.0,,,1.0,,,512,,,,,,,
,,3.0,,,,2015.0,0,,Yucatán,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Otros servicios generales,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Yucatán,"Micro, pequeñas y medianas empresas productivas y competitivas",,Prestación de Servicios Públicos,,,,,31.0,,,,,3.0,1.0,1.0,,,,,E,"$108,660.00",,,3900.0,,,,9.0,,,,10,,,1.0,,,1.0,,,151,,,,,,,
,,10.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Educación,,Servicios de Mantenimiento y Conservación,Diseño y aplicación de la política educativa,Educación Pública,Apoyo en Servicios Educativos Concurrentes,Gasto corriente,Oficina de Servicios Federales de Apoyo a la Educación en el Estado de Chiapas,Diseño y aplicación de la política educativa,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,0.0,,,,,P,193551.0,,,3500.0,,,,1.0,,,,11,,,8.0,,,1.0,,,127,,,,,,,
,,15.0,,,,2008.0,,Sistema Nacional de Protección Civil,,,Recursos fiscales,Gobernación,Gobierno,Prima quinquenal por años de servicios efectivos prestados,Coordinación y operación del Sistema Nacional de Protección Civil,Gobernación,Otros,Gasto corriente,Coordinación General de Protección Civil,,Prestación de servicios públicos,,,,,,,,,,,,1.0,4.0,,,1.0,E,,27552.0,,,1301.0,,,,9.0,,,,4,,,9.0,,,1.0,,,112,,,,,,,
Infraestructura B sica en Energ¡a Elctrica,15.0,,0,3900.0,Otros servicios generales,2016.0,,,,,,,,,,,,,,,,,,,19.0,Nuevo Le¢n,,4.0,3.0,Ingresos Propios,Combustibles y Energ¡a,,,,3.0,Desarrollo Econ¢mico,,,,,P,"Planeaci¢n, seguimiento y evaluaci¢n de pol¡ticas p£blicas",," 747,203 ",552.0,Coordinaci¢n de las funciones y recursos para la infraestructura elctrica,,0.0,Comisi¢n Federal de Electricidad,Otros,53,5.0,Electricidad,,1.0,Gasto corriente,,TVV,Comisi¢n Federal de Electricidad,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,,,,2013.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios de arrendamiento,"Conducción de la política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",Gobernación,Política Interior,Gasto corriente,Unidad de Enlace Federal y Coordinación con Entidades Federativas,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,3.0,,,,,P,836191.0,,,3200.0,,,,1.0,,,,4,,,2.0,,,1.0,,,214,,,,,,,
,,2.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,"Servicios financieros, bancarios y comerciales",Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Chihuahua,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,3.0,1.0,5.0,,,,,M,"7,897.00",,,3400.0,,,,1.0,,,,9,,,6.0,,,1.0,,,628,,,,,,,
,,2.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,"Recreación, Cultura y Otras Manifestaciones Sociales",,"Servicios profesionales, científicos, técnicos y otros servicios",Actividades de apoyo administrativo,Educación Pública,Cultura,Gasto corriente,Instituto Nacional del Derecho de Autor,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,9.0,,,,,2.0,1.0,4.0,,,,,M,"$176,802.00",,,3300.0,,,,1.0,,,,11,,,2.0,,,1.0,,,I00,,,,,,,
"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",10.0,,10096480004,2200.0,Alimentos y utensilios,2016.0,,,,,,,,,,,,,,,,,,,28.0,Tamaulipas,,1.0,5.0,Recursos fiscales,Transporte,,,,3.0,Desarrollo Econ¢mico,,,,,K,Proyectos de Inversi¢n,," 4,000 ",31.0,Proyectos de construcci¢n de carreteras alimentadoras y caminos rurales,,1.0,Comunicaciones y Transportes,Ampliaciones de la H. C mara de Diputados,9,1.0,Transporte por Carretera,,3.0,Gasto de obra p£blica,,648,Centro SCT Tamaulipas,,,,,,,,
,,227.0,,,,2015.0,0,,Puebla,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Seguridad social,"Distribución de petróleo, gas, petrolíferos y petroquímicos",Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Petróleos Mexicanos (Consolidado),"Distribución de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",,Prestación de Servicios Públicos,,,,,21.0,,,,,3.0,4.0,3.0,,,,,E,"$2,555,437.00",,,1400.0,,,,10.0,,,,47,,,2.0,,,1.0,,,TZZ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,"Urbanización, Vivienda y Desarrollo Regional",,Productos Alimenticios,Actividades de apoyo administrativo,Desarrollo Social,Desarrollo Regional,Gasto corriente,Consejo Nacional de Evaluación de la Política de Desarrollo Social,Servicios de apoyo administrativo,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,,,,,,,,,2.0,1.0,3.0,,,,,M,117588.0,,,2200.0,,,,1.0,,,,20,,,3.0,,,1.0,,,VQZ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Educación,,"Materias Primas de Producción, Productos Químicos, Farmacéuticos y de Laboratorio",Evaluaciones confiables de la calidad educativa y difusión oportuna de sus resultados,Educación Pública,Otros Servicios Educativos y Actividades Inherentes,Gasto corriente,Instituto Nacional para la Evaluación de la Educación,Complemento a los Servicios Educativos,,Prestación de Servicios Públicos,,,,,,,,,,2.0,1.0,0.0,,,,,E,44762.0,,,2500.0,,,,3.0,,,,11,,,9.0,,,1.0,,,MDN,,,,,,,
,,1.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,"Servicios profesionales, cientificos, tecnicos y otros servicios",Actividades de apoyo a la función pública y buen gobierno,Educación Pública,Función Pública,Gasto corriente,Instituto Nacional para la Educación de los Adultos,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,,,,,,1.0,1.0,3.0,,,,,O,"336,678.00",,,3300.0,,,,1.0,,,,11,,,4.0,,,1.0,,,MDA,,,,,,,
,,4.0,,,,2009.0,,Fondo de Aportaciones para los Servicios de Salud,,,,Salud,Desarrollo Social,Aportaciones federales a las entidades federativas y municipios para aportaciones al sistema de ahorro para el retiro,FASSA Nayarit,Aportaciones Federales para Entidades Federativas y Municipios,Generación de Recursos para la Salud,,"Dirección General de Programación y Presupuesto ""A""",,Gasto Federalizado,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,1.0,,,2.0,I,,144346.0,,,8412.0,,,,218.0,,,,33,,,3.0,,,1.0,,,416,,,,,,,
,,13.0,,,,2013.0,,,,Desarrollo Económico,Ingresos Propios,Combustibles y Energía,,Bienes inmuebles,Proyectos de infraestructura económica de electricidad (Pidiregas),Energía,Electricidad,Gasto de capital diferente de obra pública,Comisión Federal de Electricidad,Generación de energía eléctrica,,Proyectos de Inversión,,,,,,,,,,3.0,4.0,3.0,,,,,K,8013255096.0,,,5800.0,,,,44.0,,,,TOQ,,,5.0,,,2.0,,,TOQ,,,,,,,
,,3.0,,,,2015.0,0,,Oaxaca,Desarrollo Social,Recursos fiscales,Salud,,Seguridad social,Orientación para la Salud,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Cobertura de la atención médica preventiva,,Prestación de Servicios Públicos,,,,,20.0,,,,,2.0,1.0,3.0,,,,,E,"$2,073.00",,,1400.0,,,,4.0,,,,51,,,2.0,,,1.0,,,GYN,,,,,,,
,,6.0,,,,2015.0,0,,Sonora,Desarrollo Económico,Recursos fiscales,Transporte,,Otras prestaciones sociales y económicas,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Ferrocarril,Gasto corriente,Centro SCT Sonora,Ferrocarriles eficientes y competitivos,,Regulación y supervisión,,,,,26.0,,,,,3.0,1.0,5.0,,,,,G,"$89,520.00",,,1500.0,,,,2.0,,,,9,,,3.0,,,1.0,,,646,,,,,,,
,,6.0,,,,2015.0,0,,Chihuahua,Desarrollo Social,Recursos fiscales,Vivienda y Servicios a la Comunidad,,Aportaciones,FORTAMUN,Aportaciones Federales para Entidades Federativas y Municipios,Desarrollo Regional,Gasto corriente,"Dirección General de Programación y Presupuesto ""A""",Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,,Gasto Federalizado,,,,,8.0,,,,,2.0,1.0,2.0,,,,,I,"$900,460,373.00",,,8300.0,,,,5.0,,,,33,,,7.0,,,1.0,,,416,,,,,,,
,,9.0,,,,2009.0,,"Impulso a la Reconversión Productiva en Materia Agrícola, Pecuaria y Pesquera",,,,Desarrollo Agropecuario y Forestal,Desarrollo Económico,Prima quinquenal por años de servicios efectivos prestados,"Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Apoyos a la Producción,,Subsecretaría de Agricultura,,"Planeación, seguimiento y evaluación de políticas públicas",,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,2.0,,,3.0,P,,70500.0,,,1301.0,,,,1.0,,,,8,,,1.0,,,1.0,,,300,,,,,,,
,,3.0,,,,2014.0,,,,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Seguridad social,Asesoramiento en materia jurídica al Presidente de la Republica y al Gobierno Federal.,Consejería Jurídica del Ejecutivo Federal,Asuntos Jurídicos,Gasto corriente,Consejería Adjunta de Legislación y Estudios Normativos,Asesoría en materia jurídica al Presidente de la República y al Gobierno Federal,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,1.0,1.0,3.0,,,,,P,"188,310.00",,,1400.0,,,,1.0,,,,37,,,5.0,,,1.0,,,113,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Servicios profesionales, cientificos, tecnicos y otros servicios","Regulación, supervisión y aplicación de las políticas públicas en materia agropecuaria, acuícola y pesquera","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",Elevar el ingreso de los productores y el empleo rural,,Regulación y supervisión,,,,,,,,,,3.0,1.0,2.0,,,,,G,"92,340.00",,,3300.0,,,,1.0,,,,8,,,1.0,,,1.0,,,B00,,,,,,,
,,3.0,,,,2010.0,,,,Desarrollo Económico,Recursos fiscales,Temas Empresariales,,Erogaciones del Gobierno Federal por Concepto de Seguridad Social y Seguros,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,"Micro, Pequeñas y Medianas Empresas",Gasto corriente,Subdelegación en el Puerto de Veracruz,"Micro, Pequeñas y Medianas Empresas producctivas y competitivas",,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,4.0,,,,,E,607741.0,,,1400.0,,,,9.0,,,,10,,,1.0,,,1.0,,,772,,,,,,,
,,3.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Alimentos y utensilios,"Supervisión, regulación, inspección, verificación y servicios administrativos de construcción y conservación de carreteras",Comunicaciones y Transportes,Transporte por Carretera,Gasto corriente,Centro SCT Baja California Sur,"Carreteras eficientes, seguras y suficientes",,Regulación y supervisión,,,,,,,,,,3.0,1.0,5.0,,,,,G,"7,379.00",,,2200.0,,,,3.0,,,,9,,,1.0,,,1.0,,,623,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,Turismo,Desarrollo Económico,"Servicios de Impresión, Grabado, Publicación, Difusión e Información",Actividades de apoyo administrativo,Turismo,Turismo,,Dirección General de Administración,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,6.0,,,3.0,M,,40000.0,,,3600.0,,,,1.0,,,,21,,,1.0,,,1.0,,,510,,,,,,,
,,12.0,,,,2010.0,,,,Desarrollo Social,Recursos fiscales,Asistencia Social,,Materiales y Artículos de Construcción,Asistencia social y protección del paciente,Salud,Otros Grupos Vulnerables,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,"Asistencia social, comunitaria y beneficencia pública justa y equitativa (asistencia pública)",,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,2.0,1.0,5.0,,,,,P,592513.0,,,2400.0,,,,13.0,,,,12,,,3.0,,,1.0,,,NHK,,,,,,,
,,1.0,,,,2015.0,0,,Morelos,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Servicios de arrendamiento,Apoyo a la Función Pública y Buen Gobierno,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Función Pública,Gasto corriente,Delegación en Morelos,Función pública y buen gobierno,,Apoyo a la función pública y al mejoramiento de la gestión,,,,,17.0,,,,,1.0,1.0,3.0,,,,,O,"$3,500.00",,,3200.0,,,,1.0,,,,8,,,4.0,,,1.0,,,137,,,,,,,
,,7.0,,,,2008.0,,Regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales.,,,Recursos fiscales,Desarrollo Sustentable,Desarrollo Económico,Asignaciones adicionales al sueldo,Definición de la normatividad para la política ambiental e identificación y diseño de instrumentos de fomento en apoyo al desarrollo sustentable,Medio Ambiente y Recursos Naturales,Protección y Conservación del Medio Ambiente y los Recursos Naturales,Gasto corriente,Subsecretaría de Fomento y Normatividad Ambiental,,"Planeación, formulación, implementación, seguimiento y evaluación de políticas públicas",,,,,,,,,,,,1.0,9.0,,,3.0,P,,140148.0,,,1511.0,,,,2.0,,,,16,,,2.0,,,1.0,,,600,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8.0,,,,2008.0,,Regulación eficiente de las comunicaciones y los transportes,,,Recursos fiscales,Comunicaciones y  Transportes,Desarrollo Económico,Materiales y Artículos de Construcción,Centros de Pesaje y Dimensiones,Comunicaciones y Transportes,Otros,Gasto corriente,Centro SCT Tlaxcala,,Regulación y supervisión,,,,,,,,,,,,1.0,1.0,,,3.0,G,,17262.0,,,2400.0,,,,6.0,,,,9,,,6.0,,,1.0,,,649,,,,,,,
,,4.0,,,,2013.0,,,,Gobierno,Recursos fiscales,Justicia,,Remuneraciones al personal de caracter transitorio,Otras Actividades,Poder Judicial,Impartición de Justicia,Gasto corriente,Sala Superior,Resolver impugnaciones en procesos electorales,,Específicos,,,,,,,,,,1.0,1.0,2.0,,,,,R,3733200.0,,,1200.0,,,,1.0,,,,3,,,1.0,,,1.0,,,210,,,,,,,
,,10.0,,,,2015.0,45994,,San Luis Potosí,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de traslado y viáticos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT San Luis Potosí,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,24.0,,,,,3.0,1.0,5.0,,,,,K,$800.00,,,3700.0,,,,31.0,,,,9,,,1.0,,,3.0,,,644,,,,,,,
,,3.0,,,,2009.0,,"Carreteras eficientes, seguras y suficientes",,,,Comunicaciones y Transportes,Desarrollo Económico,"Herramientas, Refacciones y Accesorios",Proyectos de infraestructura económica de carreteras,Comunicaciones y Transportes,Carreteras,,Centro SCT Chiapas,,Proyectos de Inversión,,Recursos fiscales,Gasto de obra pública,,,,,,,,,1.0,1.0,,,3.0,K,,683950.0,,,2300.0,,,,3.0,,,,9,,,1.0,,,3.0,,,627,,,,,,,
,,16.0,,,,2015.0,0,,Distrito Federal,Desarrollo Social,Recursos fiscales,Protección Social,,Servicios básicos,Generación y articulación de políticas públicas integrales de juventud,Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Instituto Mexicano de la Juventud,Juventud,,Prestación de Servicios Públicos,,,,,9.0,,,,,2.0,1.0,6.0,,,,,E,"$836,000.00",,,3100.0,,,,16.0,,,,20,,,8.0,,,1.0,,,VUY,,,,,,,
,,1.0,,,,2015.0,0,,Zacatecas,Gobierno,Recursos fiscales,Coordinación de la Política de Gobierno,,Seguridad social,Capacitación y educación para el ejercicio democrático de la ciudadanía,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Juntas Locales Ejecutivas,"Democracia preservada y fortalecida mediante la organización de elecciones federales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",,Específicos,,,,,32.0,,,,,1.0,1.0,3.0,,,,,R,"$24,178.00",,,1400.0,,,,3.0,,,,22,,,6.0,,,1.0,,,200,,,,,,,
,,8.0,,,,2008.0,,Regulación eficiente de las comunicaciones y los transportes,,,Recursos fiscales,Comunicaciones y  Transportes,Desarrollo Económico,"Vestuario, Blancos, Prendas de Protección Personal y Artículos Deportivos",Regulación y supervisión del programa de protección y medicina preventiva en transporte multimodal,Comunicaciones y Transportes,Otros,Gasto corriente,Centro SCT Morelos,,Regulación y supervisión,,,,,,,,,,,,1.0,1.0,,,3.0,G,,11200.0,,,2700.0,,,,1.0,,,,9,,,6.0,,,1.0,,,637,,,,,,,
,,8.0,,,,2013.0,,,,Desarrollo Económico,Recursos fiscales,Transporte,,Seguridad social,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Dirección General de Autotransporte Federal,Regulación eficiente de las comunicaciones y los transportes,,Regulación y supervisión,,,,,,,,,,3.0,1.0,5.0,,,,,G,17766415.0,,,1400.0,,,,2.0,,,,9,,,6.0,,,1.0,,,312,,,,,,,
,,2.0,,,,2009.0,,Servicios de apoyo administrativo,,,,Comunicaciones y Transportes,Desarrollo Económico,Prestaciones establecidas por condiciones generales de trabajo o contratos colectivos de trabajo,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros,,Centro SCT Michoacán,,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,1.0,,,3.0,M,,2809785.0,,,1507.0,,,,1.0,,,,9,,,6.0,,,1.0,,,636,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10.0,,,,2015.0,14096500015,,Veracruz,Desarrollo Económico,Recursos fiscales,Transporte,,Servicios de traslado y viáticos,Proyectos de infraestructura económica de carreteras alimentadoras y caminos rurales,Comunicaciones y Transportes,Transporte por Carretera,Gasto de obra pública,Centro SCT Veracruz,"Carreteras alimentadoras y caminos rurales eficientes, seguras y suficientes",,Proyectos de Inversión,,,,,30.0,,,,,3.0,1.0,5.0,,,,,K,"$9,600.00",,,3700.0,,,,31.0,,,,9,,,1.0,,,3.0,,,650,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.0,,,,2012.0,,,,Desarrollo Económico,Recursos fiscales,"Agropecuaria, Silvicultura, Pesca y Caza",,"Combustibles, lubricantes y aditivos","Registro, Control y Seguimiento de los Programas Presupuestarios","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Agropecuaria,Gasto corriente,Comisión Nacional de las Zonas Aridas,Elevar el ingreso de los productores y el empleo rural,,"Planeación, seguimiento y evaluación de políticas públicas",,,,,,,,,,3.0,1.0,2.0,,,,,P,845523.0,,,2600.0,,,,1.0,,,,8,,,1.0,,,1.0,,,IZI,,,,,,,
,,10.0,,,,2009.0,,Diseño y aplicación de la política educativa,,,,Educación,Desarrollo Social,"Combustibles, Lubricantes y Aditivos",Diseño y aplicación de la política educativa,Educación Pública,Apoyo en Servicios Educativos Concurrentes,,Oficina de Servicios Federales de Apoyo a la Educación en el Estado de Chiapas,,"Planeación, seguimiento y evaluación de políticas públicas",,Recursos fiscales,Gasto corriente,,,,,,,,,1.0,0.0,,,2.0,P,,78175.0,,,2600.0,,,,1.0,,,,11,,,8.0,,,1.0,,,127,,,,,,,
,,3.0,,,,2014.0,,,,Desarrollo Económico,Recursos fiscales,"Asuntos Económicos, Comerciales y Laborales en General",,Servicios basicos,Atención a las solicitudes de servicios y promoción de los programas competencia de la Secretaría en el interior de la República,Economía,Asuntos Económicos y Comerciales en General,Gasto corriente,Delegación en Yucatán,"Micro, pequeñas y medianas empresas productivas y competitivas",,Prestación de Servicios Públicos,,,,,,,,,,3.0,1.0,1.0,,,,,E,"48,000.00",,,3100.0,,,,9.0,,,,10,,,1.0,,,1.0,,,151,,,,,,,
